,bk474,bk478,Yw183,Yw189,Yw191,Yw195,Yw197,Or342,Or346,Or348,Org385,Org386
bk474,-1,38.39111,68.49778,23.5,34.10222,49.34667,-1,89.78222,70.50952,73.45536,42.6,29.66518
bk478,37.90625,-1,38.2211538461539,32.5555555555556,44.7955555555556,36.1644444444444,5.209677419,48.1071428571429,35.7911111111111,47.9466666666667,36.1111111111111,27.2355555555556
Yw183,68.49778,38.2211538461539,-1,57.62946,65.22667,61.70222,-1,37.8,56.76866,61.13778,75.25446,47.92
yw189,59.98222,32.5555555555556,57.62946,-1,78.1511111111111,68.0844444444444,40.5506329113924,34.34667,56.23111,51.29778,61.41778,74.2622222222222
Yw191,34.10222,44.7955555555556,65.22667,78.1511111111111,-1,51.28571,-1,52.78222,78.83556,63.82667,75.57333,48.78125
Yw195,49.34667,36.1644444444444,61.70222,68.0844444444444,51.28571,-1,-1,71.4,89.09778,68.76889,83.62222,65.4933333333333
Yw197,-1,5.209677419,-1,40.5506329113924,-1,-1,-1,-1,-1,-1,-1,-1
Or342,89.58667,48.1071428571429,37.8,34.34667,52.78222,71.4,-1,-1,58.83036,75.34222,50.82667,48.87556
Or346,83.67556,35.7911111111111,56.76866,56.23111,78.83556,89.09778,-1,58.83036,-1,94.12054,78.85635,75.36
Or348,73.45536,47.9466666666667,61.13778,51.29778,63.82667,68.76889,-1,75.34222,94.12054,-1,65.53571,56.55357
Org385,42.6,36.1111111111111,75.25446,61.41778,75.57333,83.62222,-1,50.82667,78.85635,65.53571,-1,75.10268
org386,29.66518,27.2355555555556,47.92,74.2622222222222,48.78125,65.4933333333333,-1,48.87556,75.36,56.55357,75.10268,-1
