Sound 1,Sound 2,%Similarity,Accuracy,%Sequential,Pitch diff,FM diff,Entropy diff,Goodness diff,AM diff,From(1),To(1),From(2),To(2),Comments
,,,,,,,,,,,,,,
bk474_43591.21874926_5_6_6_4_34_344700.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,19,66.5,85.61,1.414,1.668,4.117,6.119,1.115,44,72820,44,26268,type  comments here
bk474_43591.22901103_5_6_6_21_41_113200.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,18,66.73,83.87,1.368,1.643,4.083,6.131,1.185,44,72820,44,26268,type  comments here
bk474_43591.22901103_5_6_6_21_41_201700.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,20,68.2,87.39,1.366,1.652,3.917,5.737,1.153,44,72820,44,26268,type  comments here
bk474_43591.23371946_5_6_6_29_31_274700.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,21,65.34,85.93,1.372,1.713,4.245,5.845,1.191,44,72820,44,26268,type  comments here
bk474_43591.23557863_5_6_6_32_37_50200.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,15,65.98,87.3,1.422,1.714,4.302,5.986,1.171,44,72820,44,26268,type  comments here
bk474_43591.23665274_5_6_6_34_25_129200.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,18,67.46,85.73,1.387,1.68,4.165,5.906,1.157,44,72820,44,26268,type  comments here
bk474_43591.23682759_5_6_6_34_42_158700.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,20,66.32,90.56,1.381,1.674,4.2,5.734,1.172,44,72820,44,26268,type  comments here
bk474_43591.23682759_5_6_6_34_42_73200.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,18,65.46,82.58,1.448,1.7,4.272,6.079,1.164,44,72820,44,26268,type  comments here
bk474_43591.24346349_5_6_6_45_46_42700.wav,bk478_43222.51504386_5_2_14_18_24_321700.wav,19,68.05,86.69,1.449,1.674,4.27,6.177,1.191,44,72820,44,26268,type  comments here
