Sound 1;Sound 2;%Similarity;Accuracy;%Sequential;Pitch diff;FM diff;Entropy diff;Goodness diff;AM diff;From(1);To(1);From(2);To(2);Comments
;;;;;;;;;;;;;;
bk474_43591.21874926_5_6_6_4_34_291200.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;19;67,73;80,47;1,694;3,196;2,714;5,254;1,96;44;31592;44;26840;type  comments here
bk474_43591.21874926_5_6_6_4_34_384200.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;18;68,11;82,7;1,674;3,26;2,769;5,337;1,93;44;31592;44;26840;type  comments here
bk474_43591.21942445_5_6_6_5_42_155700.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;13;72,62;100;1,677;3,238;2,727;5,315;1,977;44;31592;44;26840;type  comments here
bk474_43591.22901103_5_6_6_21_41_153200.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;15;67,19;90,51;1,693;3,178;2,771;4,862;2,107;44;31592;44;26840;type  comments here
bk474_43591.22901103_5_6_6_21_41_241700.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;14;71,62;88,56;1,657;3,251;2,77;4,954;1,988;44;31592;44;26840;type  comments here
bk474_43591.22901103_5_6_6_21_41_76700.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;15;70,66;87,72;1,686;3,16;2,811;5,013;2,074;44;31592;44;26840;type  comments here
bk474_43591.23371946_5_6_6_29_31_155200.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;18;72,83;84,37;1,692;3,207;3,009;5,116;2,028;44;31592;44;26840;type  comments here
bk474_43591.23371946_5_6_6_29_31_230200.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;17;71,18;91,35;1,684;3,391;2,978;5,09;1,957;44;31592;44;26840;type  comments here
bk474_43591.23371946_5_6_6_29_31_315700.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;16;74,15;90,79;1,726;3,277;2,965;5,114;1,936;44;31592;44;26840;type  comments here
bk474_43591.23557863_5_6_6_32_37_15700.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;17;65,62;82,7;1,683;3,264;2,951;5,201;2,03;44;31592;44;26840;type  comments here
bk474_43591.23557863_5_6_6_32_37_91200.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;19;70,97;81,86;1,706;3,223;2,976;5,105;1,968;44;31592;44;26840;type  comments here
bk474_43591.23665274_5_6_6_34_25_169700.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;18;64,39;84,93;1,662;3,044;2,878;5,285;1,893;44;31592;44;26840;type  comments here
bk474_43591.23665274_5_6_6_34_25_92200.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;18;73,99;82,42;1,677;3,12;2,869;4,764;1,928;44;31592;44;26840;type  comments here
bk474_43591.23682759_5_6_6_34_42_113700.wav;Yw189_43613.21586206_5_28_5_59_46_33700.wav;13;75,03;100;1,735;3,192;2,895;5,139;1,935;44;31592;44;26840;type  comments here
bk474_43591.21874926_5_6_6_4_34_214200.wav;Yw189_43613.21586206_5_28_5_59_46_60200.wav;23;69,78;86,61;1,982;3,369;3,059;4,988;1,902;44;31592;44;26840;type  comments here
bk474_43591.21874926_5_6_6_4_34_291200.wav;Yw189_43613.21586206_5_28_5_59_46_60200.wav;26;64,28;76,73;1,983;3,28;2,971;5,143;1,918;44;31592;44;26840;type  comments here
